Total Nacional;Comunidades y Ciudades Autónomas;Tipo de Delito: Nivel 1;Tipo de Delito: Nivel 2;Tipo de Delito: Nivel 3;Tipo de Delito: Nivel 4;Periodo;Total
Total Nacional;03 Asturias, Principado de;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2017;110
Total Nacional;03 Asturias, Principado de;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2016;103
Total Nacional;03 Asturias, Principado de;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2015;98
Total Nacional;03 Asturias, Principado de;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2014;87
Total Nacional;03 Asturias, Principado de;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2013;104
Total Nacional;03 Asturias, Principado de;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2021;23
Total Nacional;03 Asturias, Principado de;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2020;45
Total Nacional;03 Asturias, Principado de;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2019;22
Total Nacional;03 Asturias, Principado de;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2018;41
Total Nacional;03 Asturias, Principado de;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2017;53
Total Nacional;03 Asturias, Principado de;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2016;35
Total Nacional;03 Asturias, Principado de;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2015;40
Total Nacional;03 Asturias, Principado de;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2014;53
Total Nacional;03 Asturias, Principado de;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2013;41
Total Nacional;03 Asturias, Principado de;A Total Delitos;R Resto de delitos;;;2021;136
Total Nacional;03 Asturias, Principado de;A Total Delitos;R Resto de delitos;;;2020;112
Total Nacional;03 Asturias, Principado de;A Total Delitos;R Resto de delitos;;;2019;126
Total Nacional;03 Asturias, Principado de;A Total Delitos;R Resto de delitos;;;2018;136
Total Nacional;03 Asturias, Principado de;A Total Delitos;R Resto de delitos;;;2017;189
Total Nacional;03 Asturias, Principado de;A Total Delitos;R Resto de delitos;;;2016;154
Total Nacional;03 Asturias, Principado de;A Total Delitos;R Resto de delitos;;;2015;107
Total Nacional;03 Asturias, Principado de;A Total Delitos;R Resto de delitos;;;2014;136
Total Nacional;03 Asturias, Principado de;A Total Delitos;R Resto de delitos;;;2013;116
Total Nacional;04 Balears, Illes;A Total Delitos;;;;2021;12.818
Total Nacional;04 Balears, Illes;A Total Delitos;;;;2020;8.875
Total Nacional;04 Balears, Illes;A Total Delitos;;;;2019;11.735
Total Nacional;04 Balears, Illes;A Total Delitos;;;;2018;11.285
Total Nacional;04 Balears, Illes;A Total Delitos;;;;2017;11.216
Total Nacional;04 Balears, Illes;A Total Delitos;;;;2016;10.237
Total Nacional;04 Balears, Illes;A Total Delitos;;;;2015;8.887
Total Nacional;04 Balears, Illes;A Total Delitos;;;;2014;9.176
Total Nacional;04 Balears, Illes;A Total Delitos;;;;2013;8.918
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;;;2021;28
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;;;2020;57
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;;;2019;33
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;;;2018;15
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;;;2017;32
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;;;2016;37
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;;;2015;51
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;;;2014;41
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;;;2013;40
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2021;8
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2020;15
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2019;12
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2018;5
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2017;16
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2016;15
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2015;29
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2014;15
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2013;16
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2021;2
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2020;6
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2019;4
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2018;2
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2017;6
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2016;6
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2015;6
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2014;5
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2013;8
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2021;18
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2020;36
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2019;17
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2018;8
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2017;10
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2016;16
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2015;16
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2014;21
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2013;16
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2021;""
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2020;0
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2019;0
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2018;0
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2017;0
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2016;0
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2015;""
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2014;""
Total Nacional;04 Balears, Illes;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2013;0
Total Nacional;04 Balears, Illes;A Total Delitos;3 Lesiones;;;2021;2.263
Total Nacional;04 Balears, Illes;A Total Delitos;3 Lesiones;;;2020;1.683
Total Nacional;04 Balears, Illes;A Total Delitos;3 Lesiones;;;2019;2.195
Total Nacional;04 Balears, Illes;A Total Delitos;3 Lesiones;;;2018;2.069
Total Nacional;04 Balears, Illes;A Total Delitos;3 Lesiones;;;2017;2.080
Total Nacional;04 Balears, Illes;A Total Delitos;3 Lesiones;;;2016;1.686
Total Nacional;04 Balears, Illes;A Total Delitos;3 Lesiones;;;2015;1.268
Total Nacional;04 Balears, Illes;A Total Delitos;3 Lesiones;;;2014;1.267
Total Nacional;04 Balears, Illes;A Total Delitos;3 Lesiones;;;2013;1.237
Total Nacional;04 Balears, Illes;A Total Delitos;6 Contra la libertad;;;2021;1.149
Total Nacional;04 Balears, Illes;A Total Delitos;6 Contra la libertad;;;2020;790
Total Nacional;04 Balears, Illes;A Total Delitos;6 Contra la libertad;;;2019;1.009
Total Nacional;04 Balears, Illes;A Total Delitos;6 Contra la libertad;;;2018;971
Total Nacional;04 Balears, Illes;A Total Delitos;6 Contra la libertad;;;2017;971
Total Nacional;04 Balears, Illes;A Total Delitos;6 Contra la libertad;;;2016;764
Total Nacional;04 Balears, Illes;A Total Delitos;6 Contra la libertad;;;2015;500
Total Nacional;04 Balears, Illes;A Total Delitos;6 Contra la libertad;;;2014;420
Total Nacional;04 Balears, Illes;A Total Delitos;6 Contra la libertad;;;2013;451
Total Nacional;04 Balears, Illes;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2021;763
Total Nacional;04 Balears, Illes;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2020;515
Total Nacional;04 Balears, Illes;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2019;667
Total Nacional;04 Balears, Illes;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2018;676
Total Nacional;04 Balears, Illes;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2017;679
Total Nacional;04 Balears, Illes;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2016;514
Total Nacional;04 Balears, Illes;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2015;345
Total Nacional;04 Balears, Illes;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2014;292
Total Nacional;04 Balears, Illes;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2013;338
Total Nacional;04 Balears, Illes;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2021;386
Total Nacional;04 Balears, Illes;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2020;275
Total Nacional;04 Balears, Illes;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2019;342
Total Nacional;04 Balears, Illes;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2018;295
Total Nacional;04 Balears, Illes;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2017;292
Total Nacional;04 Balears, Illes;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2016;250
Total Nacional;04 Balears, Illes;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2015;155
Total Nacional;04 Balears, Illes;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2014;128
Total Nacional;04 Balears, Illes;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2013;113
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;;;2021;278
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;;;2020;181
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;;;2019;258
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;;;2018;246
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;;;2017;226
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;;;2016;224
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;;;2015;150
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;;;2014;79
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;;;2013;74
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2021;278
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2020;181
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2019;255
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2018;246
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2017;225
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2016;218
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2015;149
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2014;77
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2013;73
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2021;0
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2020;0
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2019;3
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2018;0
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2017;1
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2016;6
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2015;1
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2014;2
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2013;1
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2021;0
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2020;0
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2019;0
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2018;0
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2017;0
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2016;0
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2015;0
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2014;0
Total Nacional;04 Balears, Illes;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2013;0
Total Nacional;04 Balears, Illes;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2021;104
Total Nacional;04 Balears, Illes;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2020;76
Total Nacional;04 Balears, Illes;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2019;108
Total Nacional;04 Balears, Illes;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2018;89
Total Nacional;04 Balears, Illes;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2017;96
Total Nacional;04 Balears, Illes;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2016;94
Total Nacional;04 Balears, Illes;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2015;76
Total Nacional;04 Balears, Illes;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2014;72
Total Nacional;04 Balears, Illes;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2013;77
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;;;2021;164
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;;;2020;145
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;;;2019;184
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;;;2018;192
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;;;2017;274
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;;;2016;271
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;;;2015;278
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;;;2014;244
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;;;2013;241
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2021;164
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2020;145
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2019;184
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2018;192
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2017;274
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2016;271
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2015;278
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2014;244
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2013;241
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2021;0
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2020;0
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2019;0
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2018;1
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2017;2
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2016;1
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2015;0
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2014;0
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2013;2
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2021;2
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2020;0
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2019;0
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2018;6
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2017;1
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2016;1
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2015;0
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2014;0
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2013;0
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2021;162
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2020;145
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2019;184
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2018;185
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2017;271
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2016;269
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2015;278
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2014;244
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2013;239
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2021;0
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2020;0
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2019;0
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2018;0
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2017;0
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2016;0
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2015;0
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2014;0
Total Nacional;04 Balears, Illes;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2013;0
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2021;3.432
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2020;2.303
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2019;3.175
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2018;3.110
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2017;2.995
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2016;2.310
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2015;1.977
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2014;2.169
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2013;2.055
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2021;1.470
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2020;998
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2019;1.486
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2018;1.326
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2017;1.164
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2016;760
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2015;371
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2014;465
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2013;376
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2021;732
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2020;518
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2019;679
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2018;703
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2017;766
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2016;687
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2015;850
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2014;914
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2013;993
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;2021;195
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;2020;155
Total Nacional;04 Balears, Illes;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;2019;177
